t=2026-01-10T16:52:15+0800 lvl=info msg="no configuration paths supplied"
t=2026-01-10T16:52:15+0800 lvl=info msg="using configuration at default config path" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-10T16:52:15+0800 lvl=info msg="open config file" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-10T19:12:06+0800 lvl=info msg="join connections" obj=join id=213e2fb92b43 l=[::1]:8000 r=136.158.57.244:24110
t=2026-01-10T19:12:13+0800 lvl=info msg="join connections" obj=join id=14666f01fc58 l=[::1]:8000 r=136.158.57.244:24283
t=2026-01-10T19:12:49+0800 lvl=info msg="join connections" obj=join id=d82a44c655ea l=[::1]:8000 r=136.158.57.244:25570
t=2026-01-10T19:12:52+0800 lvl=info msg="join connections" obj=join id=4f6ea5d34246 l=[::1]:8000 r=136.158.57.244:25658
t=2026-01-10T19:13:08+0800 lvl=info msg="join connections" obj=join id=6929dfa19650 l=[::1]:8000 r=136.158.57.244:26224
t=2026-01-10T19:13:08+0800 lvl=info msg="join connections" obj=join id=a456f0dd9b8c l=[::1]:8000 r=136.158.57.244:26224
t=2026-01-10T19:13:47+0800 lvl=info msg="join connections" obj=join id=cf2ac1582fae l=[::1]:8000 r=136.158.57.244:27474
t=2026-01-10T19:13:53+0800 lvl=info msg="join connections" obj=join id=b6b93fe877fd l=[::1]:8000 r=136.158.57.244:27645
t=2026-01-10T19:14:04+0800 lvl=info msg="join connections" obj=join id=a0fb2efab2ec l=[::1]:8000 r=136.158.57.244:28031
t=2026-01-10T19:14:07+0800 lvl=info msg="join connections" obj=join id=42b492e89383 l=[::1]:8000 r=136.158.57.244:28139
t=2026-01-10T19:14:08+0800 lvl=info msg="join connections" obj=join id=b3426a11c5be l=[::1]:8000 r=136.158.57.244:28139
t=2026-01-10T19:14:21+0800 lvl=info msg="join connections" obj=join id=1f36c7528157 l=[::1]:8000 r=136.158.57.244:28590
t=2026-01-10T19:14:21+0800 lvl=info msg="join connections" obj=join id=ef109c9ef7df l=[::1]:8000 r=136.158.57.244:28590
t=2026-01-10T19:14:24+0800 lvl=info msg="join connections" obj=join id=b3e9ffd20c22 l=[::1]:8000 r=136.158.57.244:28694
t=2026-01-10T19:14:27+0800 lvl=info msg="join connections" obj=join id=8be6ab93753c l=[::1]:8000 r=136.158.57.244:28815
t=2026-01-10T19:14:27+0800 lvl=info msg="join connections" obj=join id=635f8fcd8580 l=[::1]:8000 r=136.158.57.244:28815
t=2026-01-10T19:14:33+0800 lvl=info msg="join connections" obj=join id=4d6a1d39f864 l=[::1]:8000 r=136.158.57.244:29022
t=2026-01-10T19:26:10+0800 lvl=info msg="join connections" obj=join id=11ed972689b4 l=[::1]:8000 r=136.158.57.244:53348
t=2026-01-10T19:33:10+0800 lvl=info msg="join connections" obj=join id=d9d82e5f731c l=[::1]:8000 r=136.158.57.244:828
t=2026-01-10T19:33:51+0800 lvl=info msg="join connections" obj=join id=384e1813eecc l=[::1]:8000 r=136.158.57.244:1972
t=2026-01-10T19:34:43+0800 lvl=info msg="join connections" obj=join id=d1bb17744a14 l=[::1]:8000 r=136.158.57.244:3394
t=2026-01-10T19:34:44+0800 lvl=info msg="join connections" obj=join id=277134a8c8e2 l=[::1]:8000 r=136.158.57.244:3394
t=2026-01-10T19:49:33+0800 lvl=info msg="join connections" obj=join id=4802e94fe0f6 l=[::1]:8000 r=136.158.57.244:31703
t=2026-01-10T19:49:33+0800 lvl=info msg="join connections" obj=join id=0b50c3c83114 l=[::1]:8000 r=136.158.57.244:31703
t=2026-01-10T19:49:37+0800 lvl=info msg="join connections" obj=join id=8db0d5ba19f5 l=[::1]:8000 r=136.158.57.244:31831
t=2026-01-10T19:49:41+0800 lvl=info msg="join connections" obj=join id=1aacd630d6c3 l=[::1]:8000 r=136.158.57.244:31970
t=2026-01-10T19:49:52+0800 lvl=info msg="join connections" obj=join id=2c6415ad7487 l=[::1]:8000 r=136.158.57.244:32414
t=2026-01-10T19:50:00+0800 lvl=info msg="join connections" obj=join id=356cbcb491d4 l=[::1]:8000 r=136.158.57.244:32732
t=2026-01-10T19:50:12+0800 lvl=info msg="join connections" obj=join id=e73f89d3b886 l=[::1]:8000 r=136.158.57.244:33203
t=2026-01-10T19:50:12+0800 lvl=info msg="join connections" obj=join id=b226c0b5291a l=[::1]:8000 r=136.158.57.244:33203
t=2026-01-10T19:50:18+0800 lvl=info msg="join connections" obj=join id=e19026259569 l=[::1]:8000 r=136.158.57.244:33407
t=2026-01-10T19:50:18+0800 lvl=info msg="join connections" obj=join id=f84231fcc034 l=[::1]:8000 r=136.158.57.244:33407
t=2026-01-10T19:50:20+0800 lvl=info msg="join connections" obj=join id=5af840a325ea l=[::1]:8000 r=136.158.57.244:33458
t=2026-01-10T19:50:27+0800 lvl=info msg="join connections" obj=join id=0889fd34784c l=[::1]:8000 r=136.158.57.244:33715
t=2026-01-10T19:50:30+0800 lvl=info msg="join connections" obj=join id=5ea9673b1490 l=[::1]:8000 r=136.158.57.244:33836
t=2026-01-10T19:50:40+0800 lvl=info msg="join connections" obj=join id=b0e4c6ab909b l=[::1]:8000 r=136.158.57.244:34162
t=2026-01-10T19:54:56+0800 lvl=info msg="join connections" obj=join id=ceb729403b68 l=[::1]:8000 r=136.158.57.244:42444
t=2026-01-10T19:54:56+0800 lvl=info msg="join connections" obj=join id=056ecf73a6b4 l=[::1]:8000 r=136.158.57.244:42496
t=2026-01-10T19:55:10+0800 lvl=info msg="join connections" obj=join id=9c0ee39fb784 l=[::1]:8000 r=136.158.57.244:43013
t=2026-01-10T20:01:41+0800 lvl=info msg="join connections" obj=join id=5b9790d3450b l=[::1]:8000 r=136.158.57.244:55851
t=2026-01-10T20:01:47+0800 lvl=info msg="join connections" obj=join id=2fd552a62041 l=[::1]:8000 r=136.158.57.244:56062
t=2026-01-10T20:01:49+0800 lvl=info msg="join connections" obj=join id=096952d7b1f4 l=[::1]:8000 r=136.158.57.244:56062
t=2026-01-10T20:01:50+0800 lvl=info msg="join connections" obj=join id=6ccc079ca52e l=[::1]:8000 r=136.158.57.244:56169
t=2026-01-10T20:01:58+0800 lvl=info msg="join connections" obj=join id=5102d1170ee6 l=[::1]:8000 r=136.158.57.244:56421
t=2026-01-10T20:01:59+0800 lvl=info msg="join connections" obj=join id=a3217467f882 l=[::1]:8000 r=136.158.57.244:56421
t=2026-01-10T20:02:04+0800 lvl=info msg="join connections" obj=join id=0ddf5d163728 l=[::1]:8000 r=136.158.57.244:56660
t=2026-01-10T20:14:22+0800 lvl=info msg="join connections" obj=join id=f15d4589d271 l=[::1]:8000 r=136.158.57.244:18107
t=2026-01-10T20:14:22+0800 lvl=info msg="join connections" obj=join id=4a4bc3c772aa l=[::1]:8000 r=136.158.57.244:18107
t=2026-01-10T20:16:05+0800 lvl=info msg="join connections" obj=join id=735ac163fe2b l=[::1]:8000 r=136.158.57.244:21624
t=2026-01-10T20:16:05+0800 lvl=info msg="join connections" obj=join id=91a4fea1aeda l=[::1]:8000 r=136.158.57.244:21624
t=2026-01-10T20:25:12+0800 lvl=info msg="join connections" obj=join id=a104d6ce54ce l=[::1]:8000 r=136.158.57.244:42113
t=2026-01-10T20:27:06+0800 lvl=info msg="join connections" obj=join id=dfbd18bde952 l=[::1]:8000 r=136.158.57.244:46051
t=2026-01-10T20:27:06+0800 lvl=info msg="join connections" obj=join id=62f726c6ec02 l=[::1]:8000 r=136.158.57.244:46051
t=2026-01-10T20:33:29+0800 lvl=info msg="join connections" obj=join id=a7dc77e53e33 l=[::1]:8000 r=136.158.57.244:59896
t=2026-01-10T20:33:29+0800 lvl=info msg="join connections" obj=join id=7bd9236a2468 l=[::1]:8000 r=136.158.57.244:59904
t=2026-01-10T20:33:29+0800 lvl=info msg="join connections" obj=join id=050164de86c7 l=[::1]:8000 r=136.158.57.244:59904
t=2026-01-10T20:33:29+0800 lvl=info msg="join connections" obj=join id=3fd821467362 l=[::1]:8000 r=136.158.57.244:59904
t=2026-01-10T20:33:34+0800 lvl=info msg="join connections" obj=join id=c2b13f6666d4 l=[::1]:8000 r=136.158.57.244:60073
t=2026-01-10T20:33:42+0800 lvl=info msg="join connections" obj=join id=9edb023a2f66 l=[::1]:8000 r=136.158.57.244:60382
t=2026-01-10T20:33:48+0800 lvl=info msg="join connections" obj=join id=128c40aa944e l=[::1]:8000 r=136.158.57.244:60606
t=2026-01-10T20:33:58+0800 lvl=info msg="join connections" obj=join id=e5a543cb7bcc l=[::1]:8000 r=136.158.57.244:60886
t=2026-01-10T20:33:59+0800 lvl=info msg="join connections" obj=join id=d9ca2af8c2da l=[::1]:8000 r=136.158.57.244:60940
t=2026-01-10T20:38:28+0800 lvl=info msg="join connections" obj=join id=44c18116679e l=[::1]:8000 r=136.158.57.244:4414
t=2026-01-10T20:38:28+0800 lvl=info msg="join connections" obj=join id=2d604a2032c3 l=[::1]:8000 r=136.158.57.244:4414
t=2026-01-10T20:38:30+0800 lvl=info msg="join connections" obj=join id=52bc05220e44 l=[::1]:8000 r=136.158.57.244:4492
t=2026-01-10T20:38:43+0800 lvl=info msg="join connections" obj=join id=aa7c42986082 l=[::1]:8000 r=136.158.57.244:5062
t=2026-01-10T20:39:21+0800 lvl=info msg="join connections" obj=join id=6edf5a6b25cf l=[::1]:8000 r=136.158.57.244:6305
t=2026-01-10T20:39:22+0800 lvl=info msg="join connections" obj=join id=89a6bd63aa8b l=[::1]:8000 r=136.158.57.244:6305
t=2026-01-10T20:39:56+0800 lvl=info msg="join connections" obj=join id=78ec172cf4d3 l=[::1]:8000 r=136.158.57.244:7419
t=2026-01-10T20:39:57+0800 lvl=info msg="join connections" obj=join id=e9f7253ef9f9 l=[::1]:8000 r=136.158.57.244:7419
t=2026-01-10T20:40:13+0800 lvl=info msg="join connections" obj=join id=6e9a1872629f l=[::1]:8000 r=136.158.57.244:8204
t=2026-01-10T20:40:17+0800 lvl=info msg="join connections" obj=join id=956e3fce9340 l=[::1]:8000 r=136.158.57.244:8406
t=2026-01-10T20:40:32+0800 lvl=info msg="join connections" obj=join id=521720cebf94 l=[::1]:8000 r=136.158.57.244:8885
t=2026-01-10T20:40:50+0800 lvl=info msg="join connections" obj=join id=3e1b002323ee l=[::1]:8000 r=136.158.57.244:9502
t=2026-01-10T20:43:10+0800 lvl=info msg="join connections" obj=join id=63e17f06f763 l=[::1]:8000 r=136.158.57.244:14357
t=2026-01-10T20:43:35+0800 lvl=info msg="join connections" obj=join id=4cb135ab3d9e l=[::1]:8000 r=136.158.57.244:15210
